,Team,Season,Opp,Spread,Over/Under,Result,vs. Line,OU Result
1,buf,1985,SDG,5.0,46.0,"L, 9-14",Push,Under
2,buf,1985,@NYJ,3.5,40.0,"L, 3-42",Lost,Over
3,buf,1985,NWE,6.5,42.0,"L, 14-17",Won,Under
4,buf,1985,MIN,3.0,41.0,"L, 20-27",Lost,Over
5,buf,1985,@IND,3.5,38.5,"L, 17-49",Lost,Over
6,buf,1985,@NWE,10.0,44.0,"L, 3-14",Lost,Under
7,buf,1985,IND,0.0,40.0,"W, 21-9",Won,Under
8,buf,1985,@PHI,9.0,36.5,"L, 17-21",Won,Over
9,buf,1985,CIN,3.5,46.0,"L, 17-23",Lost,Under
10,buf,1985,HOU,2.5,37.5,"W, 20-0",Won,Under
11,buf,1985,@CLE,8.0,35.0,"L, 7-17",Lost,Under
12,buf,1985,MIA,8.5,41.5,"L, 14-23",Lost,Under
13,buf,1985,@SDG,10.0,44.5,"L, 7-40",Lost,Over
14,buf,1985,NYJ,9.0,36.5,"L, 7-27",Lost,Under
15,buf,1985,@PIT,10.0,38.0,"L, 24-30",Won,Over
16,buf,1985,@MIA,17.5,41.0,"L, 0-28",Lost,Under
1,buf,1986,NYJ,6.0,40.0,"L, 24-28",Won,Over
2,buf,1986,@CIN,6.5,44.0,"L, 33-36",Won,Over
3,buf,1986,STL,-3.0,41.0,"W, 17-10",Won,Under
4,buf,1986,KAN,-2.0,41.0,"L, 17-20",Lost,Under
5,buf,1986,@NYJ,7.5,45.5,"L, 13-14",Won,Under
6,buf,1986,@MIA,6.5,49.0,"L, 14-27",Lost,Under
7,buf,1986,IND,-10.5,41.0,"W, 24-13",Won,Under
8,buf,1986,NWE,7.0,41.0,"L, 3-23",Lost,Under
9,buf,1986,@TAM,0.0,41.0,"L, 28-34",Lost,Over
10,buf,1986,PIT,-1.0,39.0,"W, 16-12",Won,Under
11,buf,1986,MIA,1.5,43.5,"L, 24-34",Lost,Over
12,buf,1986,@NWE,13.0,43.0,"L, 19-22",Won,Under
13,buf,1986,@KAN,6.5,41.5,"W, 17-14",Won,Under
14,buf,1986,CLE,3.0,37.0,"L, 17-21",Lost,Over
15,buf,1986,@IND,-4.0,38.0,"L, 14-24",Lost,Push
16,buf,1986,@HOU,3.0,40.0,"L, 7-16",Lost,Under
1,buf,1987,NYJ,1.5,44.0,"L, 28-31",Lost,Over
2,buf,1987,HOU,-3.5,41.0,"W, 34-30",Won,Over
3,buf,1987,IND,3.5,0.0,"L, 6-47",Lost,Over
4,buf,1987,@NWE,10.5,0.0,"L, 7-14",Won,Over
5,buf,1987,NYG,4.0,0.0,"W, 6-3",Won,Over
6,buf,1987,@MIA,9.5,48.5,"W, 34-31",Won,Over
7,buf,1987,WAS,3.5,45.0,"L, 7-27",Lost,Under
8,buf,1987,DEN,5.0,45.0,"W, 21-14",Won,Under
9,buf,1987,@CLE,7.5,45.0,"L, 21-27",Won,Over
10,buf,1987,@NYJ,3.5,42.5,"W, 17-14",Won,Under
11,buf,1987,MIA,1.5,46.0,"W, 27-0",Won,Under
12,buf,1987,@RAI,3.5,42.0,"L, 21-34",Lost,Over
13,buf,1987,@IND,3.5,44.5,"W, 27-3",Won,Under
14,buf,1987,NWE,-4.0,41.0,"L, 7-13",Lost,Under
15,buf,1987,@PHI,2.5,45.0,"L, 7-17",Lost,Under
1,buf,1988,MIN,2.5,44.0,"W, 13-10",Won,Under
2,buf,1988,MIA,-3.0,44.0,"W, 9-6",Push,Under
3,buf,1988,@NWE,2.5,38.0,"W, 16-14",Won,Under
4,buf,1988,PIT,-4.0,38.0,"W, 36-28",Won,Over
5,buf,1988,@CHI,4.0,37.0,"L, 3-24",Lost,Under
6,buf,1988,IND,-4.5,36.0,"W, 34-23",Won,Over
7,buf,1988,@NYJ,2.0,40.0,"W, 37-14",Won,Over
8,buf,1988,NWE,-6.5,40.0,"W, 23-20",Lost,Over
9,buf,1988,GNB,-7.0,41.0,"W, 28-0",Won,Under
10,buf,1988,@SEA,0.0,38.0,"W, 13-3",Won,Under
11,buf,1988,@MIA,-1.0,41.0,"W, 31-6",Won,Under
12,buf,1988,NYJ,-7.0,37.0,"W, 9-6",Lost,Under
13,buf,1988,@CIN,3.5,41.0,"L, 21-35",Lost,Over
14,buf,1988,@TAM,-7.5,38.0,"L, 5-10",Lost,Under
15,buf,1988,RAI,-7.0,34.0,"W, 37-21",Won,Over
16,buf,1988,@IND,-3.0,39.0,"L, 14-17",Lost,Under
17,buf,1988,HOU,-3.5,37.0,"W, 17-10",Won,Under
18,buf,1988,@CIN,4.0,41.0,"L, 10-21",Lost,Under
1,buf,1989,@MIA,-4.0,39.5,"W, 27-24",Lost,Over
2,buf,1989,DEN,-6.5,42.0,"L, 14-28",Lost,Push
3,buf,1989,@HOU,4.0,44.0,"W, 47-41",Won,Over
4,buf,1989,NWE,-7.0,41.0,"W, 31-10",Won,Push
5,buf,1989,@IND,0.0,40.0,"L, 14-37",Lost,Over
6,buf,1989,RAM,3.5,41.5,"W, 23-20",Won,Over
7,buf,1989,NYJ,-6.5,39.0,"W, 34-3",Won,Under
8,buf,1989,MIA,-4.0,41.0,"W, 31-17",Won,Over
9,buf,1989,@ATL,-3.0,40.0,"L, 28-30",Lost,Over
10,buf,1989,IND,-6.5,40.0,"W, 30-7",Won,Under
11,buf,1989,@NWE,-5.5,42.5,"L, 24-33",Lost,Over
12,buf,1989,CIN,-3.5,41.0,"W, 24-7",Won,Under
13,buf,1989,@SEA,-4.5,38.5,"L, 16-17",Lost,Under
14,buf,1989,NOR,-6.5,36.0,"L, 19-22",Lost,Over
15,buf,1989,@SFO,6.0,43.0,"L, 10-21",Lost,Under
16,buf,1989,@NYJ,-8.0,35.0,"W, 37-0",Won,Over
17,buf,1989,@CLE,3.5,36.0,"L, 30-34",Lost,Over
1,buf,1990,IND,-7.5,37.0,"W, 26-10",Won,Under
2,buf,1990,@MIA,-2.0,42.0,"L, 7-30",Lost,Under
3,buf,1990,@NYJ,0.0,43.0,"W, 30-7",Won,Under
4,buf,1990,DEN,-3.0,41.0,"W, 29-28",Lost,Over
5,buf,1990,RAI,-3.0,37.0,"W, 38-24",Won,Over
6,buf,1990,NYJ,-9.0,42.0,"W, 30-27",Lost,Over
7,buf,1990,@NWE,-6.0,42.0,"W, 27-10",Won,Under
8,buf,1990,@CLE,-3.0,39.0,"W, 42-0",Won,Over
9,buf,1990,PHO,-12.5,38.0,"W, 45-14",Won,Over
10,buf,1990,NWE,-15.0,39.0,"W, 14-0",Lost,Under
11,buf,1990,@HOU,3.0,47.0,"L, 24-27",Push,Over
12,buf,1990,PHI,-3.0,40.0,"W, 30-23",Won,Over
13,buf,1990,@IND,-5.5,40.0,"W, 31-7",Won,Under
14,buf,1990,@NYG,4.0,37.0,"W, 17-13",Won,Under
15,buf,1990,MIA,-3.5,35.0,"W, 24-14",Won,Over
16,buf,1990,@WAS,4.0,40.0,"L, 14-29",Lost,Over
17,buf,1990,MIA,-7.0,34.0,"W, 44-34",Won,Over
18,buf,1990,RAI,-7.0,37.0,"W, 51-3",Won,Over
19,buf,1990,NYG,-6.5,40.0,"L, 19-20",Lost,Under
1,buf,1991,MIA,-7.0,42.0,"W, 35-31",Lost,Over
2,buf,1991,PIT,-7.0,42.0,"W, 52-34",Won,Over
3,buf,1991,@NYJ,-9.5,46.0,"W, 23-20",Lost,Under
4,buf,1991,@TAM,-8.0,44.0,"W, 17-10",Lost,Under
5,buf,1991,CHI,-8.0,44.0,"W, 35-20",Won,Over
6,buf,1991,@KAN,-3.0,40.0,"L, 6-33",Lost,Under
7,buf,1991,IND,-20.0,41.0,"W, 42-6",Won,Over
8,buf,1991,CIN,-13.5,50.0,"W, 35-16",Won,Over
9,buf,1991,NWE,-17.0,41.0,"W, 22-17",Lost,Under
10,buf,1991,@GNB,-7.0,37.0,"W, 34-24",Won,Over
11,buf,1991,@MIA,-4.0,46.0,"W, 41-27",Won,Over
12,buf,1991,@NWE,-8.5,42.0,"L, 13-16",Lost,Under
13,buf,1991,NYJ,-9.0,46.0,"W, 24-13",Won,Under
14,buf,1991,@RAI,1.5,41.0,"W, 30-27",Won,Over
15,buf,1991,@IND,-13.0,42.5,"W, 35-7",Won,Under
16,buf,1991,DET,-5.0,41.0,"L, 14-17",Lost,Under
17,buf,1991,KAN,-10.5,41.0,"W, 37-14",Won,Over
18,buf,1991,DEN,-12.0,46.0,"W, 10-7",Lost,Under
19,buf,1991,WAS,7.0,48.0,"L, 24-37",Lost,Over
1,buf,1992,RAM,-11.0,45.0,"W, 40-7",Won,Over
2,buf,1992,@SFO,3.5,44.0,"W, 34-31",Won,Over
3,buf,1992,IND,-17.0,41.0,"W, 38-0",Won,Under
4,buf,1992,@NWE,-14.0,38.0,"W, 41-7",Won,Over
5,buf,1992,MIA,-10.5,50.0,"L, 10-37",Lost,Under
6,buf,1992,@RAI,-9.5,42.0,"L, 3-20",Lost,Under
7,buf,1992,@NYJ,-8.5,43.0,"W, 24-20",Lost,Over
8,buf,1992,NWE,-19.0,40.0,"W, 16-7",Lost,Under
9,buf,1992,PIT,-7.0,38.0,"W, 28-20",Won,Over
10,buf,1992,@MIA,-1.0,46.5,"W, 26-20",Won,Under
11,buf,1992,ATL,-13.0,43.0,"W, 41-14",Won,Over
12,buf,1992,@IND,-16.5,41.0,"L, 13-16",Lost,Under
13,buf,1992,NYJ,-17.0,36.0,"L, 17-24",Lost,Over
14,buf,1992,DEN,-14.0,37.0,"W, 27-17",Lost,Over
15,buf,1992,@NOR,3.5,39.0,"W, 20-16",Won,Under
16,buf,1992,@HOU,-2.5,41.0,"L, 3-27",Lost,Under
17,buf,1992,HOU,-2.0,37.0,"W, 41-38",Won,Over
